feature,idx,acc_after_flip,acc_drop
AnchorURL,13,0.5901031300886557,0.3380676678125566
HTTPS,7,0.732675954405645,0.19549484349556723
ServerFormHandler,15,0.8998552560159219,0.028315541885290396
Favicon,9,0.9217477836077438,0.006423014293468476
IframeRedirection,22,0.9236475483987697,0.004523249502442539
