flip_k,accuracy,attack_success_rate
0,0.9281707979012123,
1,0.3801338881852723,0.6198661118147277
2,0.18744345938121948,0.8125565406187806
3,0.17550208069477113,0.8244979193052289
4,0.1740546408539895,0.8259453591460105
5,0.17342138592364756,0.8265786140763525
